nOverlaps	nTotal	cs.nOverlaps	cs.nTotal	PosteriorProb	fraction	enrichment	cs.fraction	Disease
4	3236	4	3235	0.85	0.00123609394313968	0.0163322787399352	0.00123647604327666	All
4	3182	4	3181	0.86	0.00125707102451289	0.0166094450039065	0.00125746620559572	All
4	3116	4	3115	0.87	0.00128369704749679	0.0169612496798557	0.00128410914927769	All
4	3054	4	3053	0.88	0.00130975769482646	0.0173055841527277	0.00131018670160498	All
4	2993	4	2992	0.89	0.00133645172068159	0.017658287337932	0.00133689839572193	All
4	2918	4	2918	0.9	0.00137080191912269	0.018112150103643	0.00137080191912269	All
4	2841	4	2841	0.91	0.00140795494544175	0.0186030461113799	0.00140795494544175	All
4	2773	4	2773	0.92	0.00144248106743599	0.0190592333221891	0.00144248106743599	All
4	2691	4	2691	0.93	0.00148643626904496	0.0196400052034301	0.00148643626904496	All
4	2602	4	2602	0.94	0.00153727901614143	0.0203117809386743	0.00153727901614143	All
4	2505	4	2505	0.95	0.00159680638722555	0.0210983049909902	0.00159680638722555	All
4	2372	4	2372	0.96	0.00168634064080944	0.0222813043855103	0.00168634064080944	All
4	2243	4	2243	0.97	0.00178332590280874	0.0235627525646145	0.00178332590280874	All
3	2071	3	2071	0.98	0.00144857556735876	0.0191397588130482	0.00144857556735876	All
3	1825	3	1825	0.99	0.00164383561643836	0.0217196934256563	0.00164383561643836	All
0	219	0	219	1	0	0	0	All
94	12613	60	246	0	0.00745262824070404	0.0984701870337838	0.24390243902439	IBD
94	12613	60	246	1e-04	0.00745262824070404	0.0984701870337838	0.24390243902439	IBD
94	11948	60	246	0.001	0.0078674255105457	0.103950826000763	0.24390243902439	IBD
94	4727	60	218	0.01	0.0198857626401523	0.262746873081683	0.275229357798165	IBD
94	2557	60	195	0.02	0.0367618302698475	0.485727207296486	0.307692307692308	IBD
94	1475	60	174	0.03	0.063728813559322	0.842036928174315	0.344827586206897	IBD
94	1085	60	164	0.04	0.0866359447004608	1.14470457977614	0.365853658536585	IBD
94	843	60	157	0.05	0.111506524317912	1.47331490991354	0.382165605095541	IBD
94	557	60	142	0.06	0.168761220825853	2.22981053690685	0.422535211267606	IBD
94	496	60	137	0.07	0.189516129032258	2.50404126826031	0.437956204379562	IBD
94	405	60	128	0.08	0.232098765432099	3.06667770137559	0.46875	IBD
94	378	60	121	0.09	0.248677248677249	3.28572610861671	0.495867768595041	IBD
94	344	60	119	0.1	0.273255813953488	3.61047810772417	0.504201680672269	IBD
89	316	56	119	0.11	0.281645569620253	3.7213303846648	0.470588235294118	IBD
76	267	52	115	0.12	0.284644194756554	3.76095065934898	0.452173913043478	IBD
70	254	51	113	0.13	0.275590551181102	3.64132655528556	0.451327433628319	IBD
70	242	51	111	0.14	0.289256198347107	3.82188820265509	0.459459459459459	IBD
63	207	47	104	0.15	0.304347826086957	4.02129106540231	0.451923076923077	IBD
59	194	44	101	0.16	0.304123711340206	4.01832987905077	0.435643564356436	IBD
57	181	43	99	0.17	0.314917127071823	4.16094126814715	0.434343434343434	IBD
53	170	40	97	0.18	0.311764705882353	4.11928891489531	0.412371134020619	IBD
50	158	39	95	0.19	0.316455696202532	4.18127009512899	0.410526315789474	IBD
49	151	39	94	0.2	0.324503311258278	4.28760173198525	0.414893617021277	IBD
43	128	36	83	0.21	0.3359375	4.43867953536037	0.433734939759036	IBD
41	122	34	81	0.22	0.336065573770492	4.44037175020419	0.419753086419753	IBD
41	117	34	79	0.23	0.35042735042735	4.63013122670865	0.430379746835443	IBD
37	109	30	77	0.24	0.339449541284404	4.48508348185763	0.38961038961039	IBD
36	107	29	76	0.25	0.336448598130841	4.44543257964368	0.381578947368421	IBD
31	85	27	69	0.26	0.364705882352941	4.81879080610395	0.391304347826087	IBD
30	81	26	68	0.27	0.37037037037037	4.89363462985467	0.382352941176471	IBD
29	78	25	65	0.28	0.371794871794872	4.91245630150796	0.384615384615385	IBD
28	75	24	63	0.29	0.373333333333333	4.93278370689351	0.380952380952381	IBD
27	73	23	62	0.3	0.36986301369863	4.88693102077268	0.370967741935484	IBD
26	69	22	59	0.31	0.376811594202899	4.97874131906953	0.372881355932203	IBD
25	67	21	57	0.32	0.373134328358209	4.93015429127149	0.368421052631579	IBD
25	63	21	54	0.33	0.396825396825397	5.24317996055857	0.388888888888889	IBD
22	58	19	51	0.34	0.379310344827586	5.01175684505806	0.372549019607843	IBD
22	58	19	51	0.35	0.379310344827586	5.01175684505806	0.372549019607843	IBD
22	56	19	51	0.36	0.392857142857143	5.19074816095299	0.372549019607843	IBD
22	55	19	50	0.37	0.4	5.28512540024304	0.38	IBD
22	53	19	48	0.38	0.415094339622642	5.48456409459184	0.395833333333333	IBD
22	52	19	47	0.39	0.423076923076923	5.59003648102629	0.404255319148936	IBD
22	50	19	45	0.4	0.44	5.81363794026735	0.422222222222222	IBD
19	47	17	43	0.41	0.404255319148936	5.3413501385435	0.395348837209302	IBD
18	46	17	43	0.42	0.391304347826087	5.17023136980298	0.395348837209302	IBD
18	46	17	43	0.43	0.391304347826087	5.17023136980298	0.395348837209302	IBD
17	43	16	41	0.44	0.395348837209302	5.22367045372859	0.390243902439024	IBD
15	40	14	38	0.45	0.375	4.95480506272785	0.368421052631579	IBD
15	38	14	36	0.46	0.394736842105263	5.21558427655563	0.388888888888889	IBD
15	37	14	35	0.47	0.405405405405405	5.35654601375984	0.4	IBD
15	37	14	35	0.48	0.405405405405405	5.35654601375984	0.4	IBD
15	37	14	35	0.49	0.405405405405405	5.35654601375984	0.4	IBD
14	35	13	33	0.5	0.4	5.28512540024304	0.393939393939394	IBD
11	30	11	30	0.51	0.366666666666667	4.84469828355612	0.366666666666667	IBD
11	29	11	29	0.52	0.379310344827586	5.01175684505806	0.379310344827586	IBD
11	28	11	28	0.53	0.392857142857143	5.19074816095299	0.392857142857143	IBD
10	27	10	27	0.54	0.37037037037037	4.89363462985467	0.37037037037037	IBD
10	27	10	27	0.55	0.37037037037037	4.89363462985467	0.37037037037037	IBD
10	27	10	27	0.56	0.37037037037037	4.89363462985467	0.37037037037037	IBD
10	27	10	27	0.57	0.37037037037037	4.89363462985467	0.37037037037037	IBD
10	27	10	27	0.58	0.37037037037037	4.89363462985467	0.37037037037037	IBD
